ENSEMBLE_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Name,Fold_Change
ENSMUSG00000036040.14,1219.975172,1.47674637,0.1465816909,10.07456225,7.16E-24,1.56E-21,Adamtsl2,2.783203445
ENSMUSG00000020108.3,7958.107232,1.338676055,0.1427942929,9.374856855,6.93E-21,9.53E-19,Ddit4,2.529191113
ENSMUSG00000105703.1,7860.11203,1.336988774,0.132282415,10.10707865,5.14E-24,1.17E-21,Gm43305,2.526234865
ENSMUSG00000056608.14,62197.51129,1.326064718,0.1226133756,10.81500865,2.92E-27,1.07E-24,Chd9,2.507178507
ENSMUSG00000110386.1,1317.835556,1.25607834,0.1275401026,9.848497174,6.96E-23,1.34E-20,Gm42031,2.388456066
ENSMUSG00000086320.1,817.3442808,1.240416453,0.1458487666,8.504812774,1.82E-17,1.6E-15,Gm12840,2.362667239
ENSMUSG00000039760.8,142.2103353,1.228365556,0.1510610304,8.131584646,4.24E-16,3.03E-14,Il22ra2,2.343013969
ENSMUSG00000039911.13,4837.175356,1.227514521,0.1511215047,8.122699168,4.56E-16,3.25E-14,Spsb1,2.34163225
ENSMUSG00000078787.8,157.1548128,1.226634898,0.1308744863,9.372605254,7.08E-21,9.67E-19,Cyp2t4,2.340204973
ENSMUSG00000096979.1,764.1738228,1.226400373,0.1348233878,9.096347399,9.34E-20,1.1E-17,Gm26880,2.33982458
ENSMUSG00000069372.3,1761.208623,1.218921191,0.1265722677,9.630239018,5.96E-22,1.01E-19,Ctxn3,2.327725911
ENSMUSG00000052819.6,1137.331985,1.215479028,0.1429187836,8.504683552,1.82E-17,1.6E-15,Best2,2.32217875
ENSMUSG00000004988.9,2267.075838,1.169751706,0.09138420094,12.80037134,1.63E-37,3.64E-34,Fxyd4,2.249729748
ENSMUSG00000025723.12,163.198886,1.166458088,0.1228567707,9.494455059,2.21E-21,3.38E-19,Nmb,2.244599558
ENSMUSG00000028778.15,75.63655758,1.151291184,0.1439262705,7.999173325,1.25E-15,8.48E-14,Hcrtr1,2.221125919
ENSMUSG00000078612.9,93.7204204,1.146828415,0.138113786,8.303504299,1.01E-16,7.69E-15,1700024P16Rik,2.214265803
ENSMUSG00000049307.6,6715.074614,1.142225559,0.1208221844,9.45377345,3.27E-21,4.79E-19,Fut4,2.207212541
ENSMUSG00000004328.15,879.0567061,1.125374248,0.1194073834,9.424662157,4.31E-21,6.2E-19,Hif3a,2.181581313
ENSMUSG00000021453.2,1317.110614,1.123078692,0.1355898954,8.282908461,1.2E-16,8.99E-15,Gadd45g,2.178112833
ENSMUSG00000061718.12,98.15966637,1.116292217,0.1514288392,7.37172802,1.68E-13,8.27E-12,Ppp1r1b,2.167890994
ENSMUSG00000021750.15,4556.428718,1.107006362,0.1217456253,9.09278144,9.65E-20,1.13E-17,Fam107a,2.153982252
ENSMUSG00000034936.2,3202.842869,1.086443036,0.1271279604,8.546058885,1.27E-17,1.16E-15,Arl4d,2.123498421
ENSMUSG00000026822.14,7280.709319,1.086134235,0.1517487696,7.157450028,8.22E-13,3.59E-11,Lcn2,2.123043947
ENSMUSG00000032010.15,4878.410556,1.083943362,0.1132883315,9.568005347,1.09E-21,1.75E-19,Usp2,2.119822344
