ENSEMBLE_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Name,Fold_Change
ENSMUSG00000110386.1,1317.835556,1.790294451,0.1324338172,13.51840858,1.22E-41,6.52E-39,Gm42031,3.458854798
ENSMUSG00000069372.3,1761.208623,1.722059487,0.1317434159,13.07131347,4.8E-39,1.73E-36,Ctxn3,3.299070222
ENSMUSG00000036040.14,1219.975172,1.720405317,0.1487902851,11.5626186,6.37E-31,9.28E-29,Adamtsl2,3.295289732
ENSMUSG00000078787.8,157.1548128,1.700132739,0.1351453103,12.58003504,2.72E-36,6.8E-34,Cyp2t4,3.249308533
ENSMUSG00000052819.6,1137.331985,1.681591145,0.1460390316,11.51466924,1.11E-30,1.61E-28,Best2,3.207815453
ENSMUSG00000105703.1,7860.11203,1.659012697,0.1366863368,12.13737039,6.69E-34,1.33E-31,Gm43305,3.15800334
ENSMUSG00000086320.1,817.3442808,1.637193943,0.1482639899,11.04242469,2.39E-28,2.74E-26,Gm12840,3.110602277
ENSMUSG00000020108.3,7958.107232,1.630424757,0.145819111,11.18114591,5.04E-29,6.07E-27,Ddit4,3.096041386
ENSMUSG00000073764.2,324.6776136,1.623778324,0.1412168877,11.49847126,1.34E-30,1.93E-28,Gm12888,3.081810865
ENSMUSG00000039911.13,4837.175356,1.620012108,0.1515905556,10.68676146,1.17E-26,1.14E-24,Spsb1,3.073776159
ENSMUSG00000056608.14,62197.51129,1.618649799,0.127728131,12.6726179,8.39E-37,2.19E-34,Chd9,3.070875022
ENSMUSG00000049307.6,6715.074614,1.600619818,0.1260776708,12.69550593,6.26E-37,1.69E-34,Fut4,3.032735792
ENSMUSG00000078576.1,275.4770287,1.574006577,0.1377973475,11.42261883,3.22E-30,4.31E-28,Gm12886,2.977304083
ENSMUSG00000004328.15,879.0567061,1.568875004,0.1249998412,12.55101598,3.92E-36,9.71E-34,Hif3a,2.966732817
ENSMUSG00000066687.5,5138.297201,1.538028773,0.1204484272,12.76918934,2.44E-37,7.1E-35,Zbtb16,2.903974475
ENSMUSG00000021453.2,1317.110614,1.529270749,0.1400257322,10.92135513,9.11E-28,9.8E-26,Gadd45g,2.88639901
ENSMUSG00000004988.9,2267.075838,1.528275571,0.09661252348,15.81860732,2.32E-56,7.61E-53,Fxyd4,2.884408645
ENSMUSG00000081667.1,2322.30543,1.482732968,0.1420989305,10.43451181,1.72E-25,1.5E-23,Gm12883,2.794776604
ENSMUSG00000024222.16,62035.45962,1.481637157,0.1301131856,11.38729446,4.84E-30,6.43E-28,Fkbp5,2.792654614
ENSMUSG00000025723.12,163.198886,1.471453151,0.1302236225,11.29943341,1.32E-29,1.69E-27,Nmb,2.773010638
ENSMUSG00000071637.5,2990.362155,1.465462291,0.1282937122,11.42271329,3.22E-30,4.31E-28,Cebpd,2.761519455
ENSMUSG00000021750.15,4556.428718,1.453787517,0.1269055817,11.45566253,2.2E-30,3.07E-28,Fam107a,2.739262486
ENSMUSG00000039760.8,142.2103353,1.45335371,0.1518424041,9.571461403,1.05E-21,6.4E-20,Il22ra2,2.738438936
ENSMUSG00000074264.12,1674.047727,1.452288911,0.1197934842,12.12327132,7.95E-34,1.56E-31,Amy1,2.736418543
ENSMUSG00000032010.15,4878.410556,1.438919725,0.1187796342,12.11419563,8.88E-34,1.73E-31,Usp2,2.711177793
ENSMUSG00000060030.5,36.20851071,1.431677988,0.1513498884,9.459392429,3.1E-21,1.77E-19,Olfr317,2.697602892
ENSMUSG00000034936.2,3202.842869,1.420991675,0.1320390481,10.76190487,5.21E-27,5.28E-25,Arl4d,2.677695062
ENSMUSG00000046095.5,214.1963013,1.417957425,0.1173237257,12.08585405,1.25E-33,2.41E-31,Krt32,2.672069301
ENSMUSG00000102504.1,530.8808453,1.395482123,0.1291393331,10.80601928,3.22E-27,3.36E-25,Gm21955,2.630764528
ENSMUSG00000030353.15,918.9908752,1.38737019,0.1045448735,13.27057122,3.43E-40,1.32E-37,Tead4,2.616013871
ENSMUSG00000024395.7,309.8574115,1.3849874,0.127846696,10.83318884,2.4E-27,2.52E-25,Lims2,2.611696765
ENSMUSG00000038393.14,93958.47471,1.378537219,0.09358671693,14.73005213,4.13E-49,5.59E-46,Txnip,2.600046128
ENSMUSG00000028776.14,8099.546741,1.374776524,0.08566642888,16.04801953,5.9E-58,4.53E-54,Tinagl1,2.593277374
ENSMUSG00000061718.12,98.15966637,1.374372437,0.1519130025,9.047102052,1.47E-19,6.85E-18,Ppp1r1b,2.59255112
ENSMUSG00000096862.1,779.6626661,1.36126486,0.1248493395,10.90326041,1.11E-27,1.18E-25,Gm13301,2.569103229
ENSMUSG00000078612.9,93.7204204,1.357533683,0.1444085249,9.400647806,5.42E-21,3E-19,1700024P16Rik,2.562467457
ENSMUSG00000020681.14,2861.875769,1.346199889,0.1305134512,10.31464478,6.05E-25,4.94E-23,Ace,2.542415612
ENSMUSG00000024481.4,1868.373946,1.335815374,0.1192208368,11.2045462,3.87E-29,4.71E-27,Lvrn,2.524181016
ENSMUSG00000066170.6,236.3750703,1.335305259,0.1316264409,10.14465824,3.5E-24,2.63E-22,E230001N04Rik,2.523288662
ENSMUSG00000022512.2,5374.39703,1.333035345,0.1114536165,11.96044944,5.73E-33,1.01E-30,Cldn1,2.519321681
ENSMUSG00000019997.11,38482.68887,1.329500628,0.1445713385,9.196156319,3.71E-20,1.87E-18,Ctgf,2.513156699
ENSMUSG00000019577.6,382.2678662,1.328828217,0.139622906,9.517265147,1.78E-21,1.05E-19,Pdk4,2.51198564
ENSMUSG00000096979.1,764.1738228,1.32684041,0.1390683204,9.540924964,1.42E-21,8.42E-20,Gm26880,2.508526902
ENSMUSG00000103694.1,467.6562825,1.32539823,0.1285966945,10.30662751,6.58E-25,5.35E-23,Gm37530,2.506020523
ENSMUSG00000037709.13,2444.404707,1.323644691,0.1021542021,12.95732005,2.14E-38,7.02E-36,Fam13a,2.502976405
ENSMUSG00000028680.14,1684.453522,1.320733653,0.1217870519,10.84461469,2.12E-27,2.23E-25,Plk3,2.497931047
ENSMUSG00000044716.12,291.8755005,1.316675943,0.1388394526,9.48344234,2.46E-21,1.42E-19,Dok7,2.490915262
ENSMUSG00000027875.12,1911.712188,1.311662267,0.1358016104,9.658665042,4.52E-22,2.79E-20,Hmgcs2,2.482273818
ENSMUSG00000045534.4,485.7072222,1.30603549,0.129158226,10.11190329,4.89E-24,3.6E-22,Kcna5,2.472611347
ENSMUSG00000026822.14,7280.709319,1.297812323,0.1516736131,8.55661243,1.16E-17,4.57E-16,Lcn2,2.458557885
ENSMUSG00000031431.13,62016.35531,1.293910191,0.1020550206,12.678555,7.78E-37,2.08E-34,Tsc22d3,2.451917082
ENSMUSG00000033998.9,2476.498086,1.291917267,0.1004609764,12.8598916,7.57E-38,2.32E-35,Kcnk1,2.448532368
ENSMUSG00000007279.14,348.9599062,1.242187735,0.1212041766,10.24872054,1.2E-24,9.45E-23,Scube2,2.365569807
ENSMUSG00000048794.14,426.3618306,1.241261297,0.11267277,11.01651532,3.18E-28,3.61E-26,Cfap100,2.364051225
ENSMUSG00000030087.11,1766.458706,1.238799114,0.1077912033,11.4925808,1.44E-30,2.05E-28,Klf15,2.360020046
ENSMUSG00000009248.6,915.5212684,1.226414143,0.09554800265,12.83558117,1.04E-37,3.1E-35,Ascl2,2.339846914
ENSMUSG00000062609.13,1027.536603,1.221191725,0.1251440156,9.758291033,1.7E-22,1.09E-20,Kcnj15,2.331392203
ENSMUSG00000026443.3,961.8515163,1.220893914,0.1160198504,10.52314677,6.76E-26,6.07E-24,Lrrn2,2.33091099
ENSMUSG00000041696.14,182.8592711,1.219895636,0.1330359388,9.169669843,4.74E-20,2.37E-18,Rasl12,2.329298667
ENSMUSG00000023087.15,3079.995552,1.218703145,0.08093374509,15.05803473,3.06E-51,7.03E-48,Noct,2.327374129
ENSMUSG00000026303.6,3601.36015,1.218040812,0.09279479366,13.1261762,2.33E-39,8.51E-37,Mlph,2.32630589
ENSMUSG00000078451.5,520.0914511,1.21077244,0.1033356155,11.71689388,1.04E-31,1.66E-29,Ppil6,2.314615315
ENSMUSG00000028778.15,75.63655758,1.209505727,0.1468532077,8.236154633,1.78E-16,6.07E-15,Hcrtr1,2.312583932
ENSMUSG00000021091.8,4122.683548,1.203374757,0.151041398,7.967184973,1.62E-15,4.86E-14,Serpina3n,2.302777078
ENSMUSG00000033268.8,4098.547396,1.198188129,0.09004977699,13.30584227,2.14E-40,8.79E-38,Duox1,2.294513237
ENSMUSG00000020838.12,178.1842153,1.188041728,0.1404162182,8.460858322,2.65E-17,9.99E-16,Slc6a4,2.278432655
ENSMUSG00000033308.16,757.0062163,1.186021126,0.08778433441,13.51062389,1.35E-41,6.77E-39,Dpyd,2.275243772
ENSMUSG00000093909.2,371.6778389,1.17989938,0.1283221324,9.194823669,3.76E-20,1.89E-18,Gm3883,2.265609752
ENSMUSG00000039269.5,320.3966745,1.174591537,0.1178962007,9.962929508,2.21E-23,1.54E-21,2300002M23Rik,2.257289624
ENSMUSG00000047428.14,2280.31632,1.171940506,0.08617195711,13.60002193,4E-42,2.42E-39,Dlk2,2.25314554
ENSMUSG00000028982.9,654.6618957,1.163758762,0.1038454507,11.20664173,3.78E-29,4.64E-27,Slc25a33,2.240403771
ENSMUSG00000006542.13,71.47232963,1.155518854,0.1447468155,7.983034725,1.43E-15,4.31E-14,Prkag3,2.227644247
ENSMUSG00000037973.6,115.4466852,1.15314448,0.139632221,8.25844115,1.48E-16,5.13E-15,Ccdc129,2.223981026
ENSMUSG00000083494.1,11.04381277,1.152701893,0.1349606725,8.541020669,1.33E-17,5.17E-16,Gm12873,2.223298863
ENSMUSG00000033453.8,216.2303016,1.144820651,0.1423769634,8.040771654,8.93E-16,2.77E-14,Adamts15,2.211186406
ENSMUSG00000050721.9,2888.175064,1.142367422,0.08558718395,13.34741218,1.23E-40,5.64E-38,Plekho2,2.207429591
ENSMUSG00000081169.1,54.48539128,1.14025122,0.1458560259,7.817649031,5.38E-15,1.49E-13,Gm12551,2.204194019
ENSMUSG00000027075.16,356.8521945,1.137764832,0.1330136467,8.553745123,1.19E-17,4.66E-16,Slc43a1,2.200398511
ENSMUSG00000055322.15,15431.1949,1.136661676,0.08220531888,13.82710622,1.75E-43,1.34E-40,Tns1,2.198716621
ENSMUSG00000029304.14,2805.775403,1.135370063,0.1368985147,8.293516297,1.1E-16,3.87E-15,Spp1,2.196749039
ENSMUSG00000028211.11,7962.757527,1.133973025,0.09499392105,11.93732202,7.56E-33,1.32E-30,Trp53inp1,2.194622841
ENSMUSG00000038319.14,181.0995475,1.13311167,0.1345483983,8.42159167,3.71E-17,1.38E-15,Kcnh2,2.193312942
ENSMUSG00000021223.13,5049.661966,1.131482941,0.1167866196,9.688463838,3.38E-22,2.12E-20,Papln,2.1908382
ENSMUSG00000048038.7,617.5493864,1.120210106,0.134101325,8.353460383,6.63E-17,2.39E-15,Ccdc187,2.17378628
ENSMUSG00000035948.12,565.0594009,1.118322326,0.1313150755,8.516328547,1.65E-17,6.36E-16,Acss3,2.170943721
ENSMUSG00000036912.17,134.4740331,1.117916365,0.1499749719,7.454019501,9.05E-14,2.15E-12,Piwil4,2.170332923
ENSMUSG00000015468.14,247.5769338,1.117261245,0.1144085931,9.76553609,1.58E-22,1.02E-20,Notch4,2.16934761
ENSMUSG00000041020.14,70.29236629,1.112882896,0.1468044592,7.580715887,3.44E-14,8.6E-13,Map7d2,2.162773967
ENSMUSG00000053626.5,588.6584852,1.112510414,0.1208912004,9.202575623,3.49E-20,1.77E-18,Tll1,2.162215643
ENSMUSG00000022637.10,5836.977961,1.109854454,0.06376360192,17.40576787,7.46E-68,1.72E-63,Cblb,2.158238728
ENSMUSG00000069170.13,246.2292155,1.109530379,0.1204470996,9.211765019,3.21E-20,1.63E-18,Adgrv1,2.157753974
ENSMUSG00000003526.11,6891.54319,1.105856155,0.08299190138,13.32486829,1.66E-40,7.34E-38,Prodh,2.152265646
ENSMUSG00000029321.1,227.3822561,1.102297133,0.1457164269,7.564673089,3.89E-14,9.65E-13,Slc10a6,2.14696271
ENSMUSG00000020303.2,892.0404462,1.101395839,0.1299161051,8.477746764,2.3E-17,8.73E-16,Stc2,2.145621858
ENSMUSG00000050957.4,123.9342038,1.100123669,0.1333507534,8.24984967,1.59E-16,5.49E-15,Insl6,2.14373068
ENSMUSG00000101389.1,162.0336009,1.093905337,0.1372686173,7.969085427,1.6E-15,4.79E-14,Ms4a4a,2.134510615
ENSMUSG00000048960.13,2228.634012,1.08300965,0.08829542984,12.26574979,1.38E-34,2.87E-32,Prex2,2.118450839
ENSMUSG00000079056.12,1303.061468,1.083001807,0.1067759218,10.14275306,3.57E-24,2.67E-22,Kcnip3,2.118439322
ENSMUSG00000107451.1,155.4226586,1.082806188,0.1336682405,8.100699047,5.46E-16,1.77E-14,Gm44421,2.118152097
ENSMUSG00000001986.16,793.7182044,1.076436519,0.1036989674,10.38039766,3.05E-25,2.58E-23,Gria3,2.10882082
ENSMUSG00000057021.12,188.4368423,1.076351337,0.1306726633,8.237004666,1.77E-16,6.05E-15,Vmn2r-ps159,2.108696312
ENSMUSG00000035031.15,36.8020509,1.076130157,0.1512276442,7.115961918,1.11E-12,2.32E-11,C8a,2.108373051
ENSMUSG00000086765.7,107.1858456,1.074607965,0.1473453589,7.293123943,3.03E-13,6.79E-12,Gm11827,2.106149673
ENSMUSG00000026304.13,7702.984281,1.069748748,0.07595620029,14.08375806,4.78E-45,5E-42,Rab17,2.099067773
ENSMUSG00000028444.17,5889.905234,1.069530556,0.1035316224,10.33047229,5.13E-25,4.22E-23,Cntfr,2.098750336
ENSMUSG00000059901.12,412.0468363,1.06797653,0.1491171635,7.161996006,7.95E-13,1.7E-11,Adamts14,2.096490844
ENSMUSG00000025582.4,64.09374043,1.064529452,0.1506432952,7.066557131,1.59E-12,3.27E-11,Nptx1,2.091487611
ENSMUSG00000073758.10,4026.12122,1.063974422,0.08011277543,13.2809582,2.99E-40,1.16E-37,Sh3d21,2.090683133
ENSMUSG00000083929.3,800.1137286,1.062264266,0.138701891,7.658614161,1.88E-14,4.86E-13,Gm10600,2.088206328
ENSMUSG00000031825.16,6414.252022,1.061109561,0.1162955069,9.124252432,7.22E-20,3.54E-18,Crispld2,2.086535637
ENSMUSG00000041986.16,100.6475834,1.055406826,0.1493107184,7.068526877,1.57E-12,3.23E-11,Elmod1,2.078304185
ENSMUSG00000098708.7,125.9950537,1.051785029,0.1377695549,7.634379233,2.27E-14,5.8E-13,Gm27252,2.073093275
ENSMUSG00000095258.1,229.2176497,1.04968716,0.128985487,8.138025325,4.02E-16,1.32E-14,Gm10593,2.070080914
ENSMUSG00000074508.4,64.4382299,1.048831483,0.1467709502,7.14604274,8.93E-13,1.89E-11,Gm10706,2.068853492
ENSMUSG00000025082.8,146.5314309,1.046662794,0.1275598524,8.205268155,2.3E-16,7.72E-15,Vwa2,2.065745886
ENSMUSG00000031565.18,16106.25764,1.044995848,0.07797398095,13.40185322,5.9E-41,2.77E-38,Fgfr1,2.06336042
ENSMUSG00000095348.1,228.5012942,1.044033575,0.1271882425,8.208569867,2.24E-16,7.55E-15,Gm3892,2.061984624
ENSMUSG00000024136.14,4161.987985,1.043975446,0.07768009101,13.439421,3.55E-41,1.7E-38,Dnase1l2,2.061901545
ENSMUSG00000042129.8,3273.072122,1.039325183,0.0940523097,11.05050144,2.18E-28,2.52E-26,Rassf4,2.055266084
ENSMUSG00000020099.7,10018.47302,1.034596084,0.06964948398,14.85432518,6.52E-50,1.07E-46,Unc5b,2.048540029
ENSMUSG00000026158.11,6082.986834,1.032530253,0.07017090981,14.71450571,5.2E-49,6.65E-46,Ogfrl1,2.045608773
ENSMUSG00000029370.10,2868.349848,1.0225384,0.07567402477,13.51240936,1.32E-41,6.75E-39,Rassf6,2.031490193
ENSMUSG00000026840.14,199.4021096,1.022482861,0.1153324193,8.865528588,7.61E-19,3.29E-17,Lamc3,2.031411989
ENSMUSG00000002769.8,298.8063561,1.015330118,0.09213155761,11.020438,3.05E-28,3.49E-26,Gnmt,2.02136537
ENSMUSG00000027947.11,4470.145179,1.015049716,0.07457606984,13.61093067,3.45E-42,2.27E-39,Il6ra,2.020972536
ENSMUSG00000109904.1,1635.007228,1.013337233,0.0853932084,11.86671929,1.76E-32,2.98E-30,RP23-462D5.5,2.018575059
ENSMUSG00000078722.2,115.5534544,1.010902614,0.1412871298,7.154951873,8.37E-13,1.78E-11,Gm12394,2.015171486
ENSMUSG00000094162.1,269.1984919,1.008862888,0.1264996794,7.975220913,1.52E-15,4.58E-14,Ccl19-ps3,2.01232439
ENSMUSG00000025789.9,381.8009766,1.006670801,0.138750372,7.255265604,4.01E-13,8.85E-12,St8sia2,2.009269107
ENSMUSG00000024677.13,371.8928357,1.00195575,0.1172800721,8.543273653,1.3E-17,5.08E-16,Ms4a6b,2.002713084
ENSMUSG00000039236.18,457.4036167,1.000819211,0.09746871902,10.26810674,9.81E-25,7.86E-23,Isg20,2.00113599
ENSMUSG00000024529.13,14701.54406,0.9995485267,0.1089308267,9.175993212,4.47E-20,2.24E-18,Lox,1.999374223
ENSMUSG00000031502.11,38090.33573,0.9960711193,0.07627822524,13.05839401,5.69E-39,2.01E-36,Col4a1,1.994560824
ENSMUSG00000031765.8,19280.89572,0.9914777306,0.09820623072,10.09587399,5.76E-24,4.18E-22,Mt1,1.988220452
ENSMUSG00000072594.3,105.8262444,0.9896968024,0.1403575288,7.051255537,1.77E-12,3.62E-11,Gm16439,1.985767617
ENSMUSG00000036411.10,324.2945313,0.9881415872,0.106231379,9.301786313,1.38E-20,7.27E-19,9530077C05Rik,1.983628127
ENSMUSG00000047230.6,107.1966273,0.9859485953,0.1511851656,6.521463869,6.96E-11,1.18E-09,Cldn2,1.980615171
ENSMUSG00000024679.10,215.0813795,0.983218469,0.1385728923,7.095316064,1.29E-12,2.68E-11,Ms4a6d,1.97687064
ENSMUSG00000041556.8,164.0285086,0.978994995,0.1260295014,7.767982766,7.97E-15,2.16E-13,Fbxo2,1.971091836
ENSMUSG00000091938.2,423.5722889,0.9762077164,0.1269799812,7.68788676,1.5E-14,3.91E-13,Gm2564,1.967287374
ENSMUSG00000111290.1,23.84695137,0.9757499477,0.1489504634,6.55083526,5.72E-11,9.82E-10,RP23-9A12.4,1.96666325
ENSMUSG00000058740.14,284.0463433,0.9755943908,0.1377519748,7.08225339,1.42E-12,2.93E-11,Kcnt1,1.966451209
ENSMUSG00000038530.11,173.3577246,0.9717683636,0.1331651325,7.297468531,2.93E-13,6.59E-12,Rgs4,1.961243089
ENSMUSG00000056973.6,72784.59582,0.9645109161,0.06401272551,15.0674871,2.65E-51,6.77E-48,Ces1d,1.95140187
ENSMUSG00000015342.6,2397.775902,0.9612582456,0.08152389359,11.79112286,4.34E-32,7.13E-30,Xk,1.947007236
ENSMUSG00000014846.12,6853.236877,0.9605871138,0.1123976765,8.546325366,1.27E-17,4.96E-16,Tppp3,1.946101712
ENSMUSG00000079419.4,207.8788802,0.9602372353,0.1317368125,7.289057761,3.12E-13,6.99E-12,Ms4a6c,1.945629806
ENSMUSG00000053030.11,84.17634374,0.9601484032,0.1404414149,6.836647178,8.11E-12,1.55E-10,Spink2,1.94551001
ENSMUSG00000024747.3,2643.046734,0.9600100033,0.08150788173,11.7781248,5.06E-32,8.26E-30,Aldh1a7,1.945323383
