From	To	Species	Gene Name
NUP107	ENSMUST00000064848	Mus musculus	nucleoporin 107(Nup107)
NUP107	ENSMUST00000167943	Mus musculus	nucleoporin 107(Nup107)
POP4	ENSMUST00000206045	Mus musculus	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)(Pop4)
POP4	ENSMUST00000206221	Mus musculus	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)(Pop4)
POP4	ENSMUST00000032585	Mus musculus	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)(Pop4)
POP4	ENSMUST00000205959	Mus musculus	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)(Pop4)
POP4	ENSMUST00000205899	Mus musculus	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)(Pop4)
POP4	ENSMUST00000205753	Mus musculus	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)(Pop4)
NOC2L	ENSMUST00000179886	Mus musculus	NOC2 like nucleolar associated transcriptional repressor(Noc2l)
NOC2L	ENSMUST00000179543	Mus musculus	NOC2 like nucleolar associated transcriptional repressor(Noc2l)
ALKBH3	ENSMUST00000126378	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000138107	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000125473	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000138046	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000111240	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000040005	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000126255	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000156763	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000127231	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000130289	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
ALKBH3	ENSMUST00000130403	Mus musculus	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase(Alkbh3)
RAVER2	ENSMUST00000148148	Mus musculus	ribonucleoprotein, PTB-binding 2(Raver2)
RAVER2	ENSMUST00000038463	Mus musculus	ribonucleoprotein, PTB-binding 2(Raver2)
RAVER2	ENSMUST00000106955	Mus musculus	ribonucleoprotein, PTB-binding 2(Raver2)
DPYSL3	ENSMUST00000121805	Mus musculus	dihydropyrimidinase-like 3(Dpysl3)
DPYSL3	ENSMUST00000118043	Mus musculus	dihydropyrimidinase-like 3(Dpysl3)
DPYSL3	ENSMUST00000025379	Mus musculus	dihydropyrimidinase-like 3(Dpysl3)
