#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.knownGene.cdsStart	mm10.knownGene.cdsEnd	mm10.knownGene.proteinID	mm10.knownGene.alignID	mm10.kgXref.geneSymbol
ENSMUST00000150971.7	chr1	+	4807829	4841286	4807913	4841159	P97823	uc287ges.1	Lypla1
ENSMUST00000027036.10	chr1	+	4807822	4846739	4807913	4845016	P97823	uc007afh.2	Lypla1
ENSMUST00000081551.13	chr1	+	4857813	4897905	4857913	4896364	Q3UWX7	uc007afi.3	Tcea1
ENSMUST00000165720.2	chr1	+	4858037	4897909	4858407	4896364	E9PYD5	uc011whu.2	Tcea1
ENSMUST00000162210.7	chr1	+	6214662	6230704	6214662	6214662		uc287ggf.1	Rb1cc1
ENSMUST00000160062.7	chr1	+	6215007	6234010	6230002	6234010	E0CYU7	uc287ggg.1	Rb1cc1
ENSMUST00000159906.7	chr1	+	6206196	6234311	6230002	6234311	E0CZG6	uc287gga.1	Rb1cc1
ENSMUST00000160871.7	chr1	+	6206226	6238384	6230002	6238384	E0CYY6	uc287ggb.1	Rb1cc1
ENSMUST00000159802.1	chr1	+	6240969	6248358	6240969	6240969		uc287ggj.1	Rb1cc1
ENSMUST00000162795.7	chr1	+	6228001	6249029	6230002	6249029	E9PX56	uc287ggh.1	Rb1cc1
ENSMUST00000159206.1	chr1	+	6249976	6251258	6249976	6249976		uc287ggl.1	Rb1cc1
ENSMUST00000161183.1	chr1	+	6260784	6262854	6260784	6260784		uc287ggn.1	Rb1cc1
ENSMUST00000159349.1	chr1	+	6262902	6264893	6262902	6262902		uc287ggo.1	Rb1cc1
ENSMUST00000159661.7	chr1	+	6250094	6265810	6250094	6250094		uc287ggm.1	Rb1cc1
ENSMUST00000162418.1	chr1	+	6265605	6272765	6265605	6265605		uc287ggq.1	Rb1cc1
ENSMUST00000159530.1	chr1	+	6262932	6274489	6262932	6274275	F6TLJ4	uc287ggp.1	Rb1cc1
ENSMUST00000162257.7	chr1	+	6249087	6274490	6249087	6265586	F7CCJ3	uc287ggk.1	Rb1cc1
ENSMUST00000159656.1	chr1	+	6270677	6275575	6270677	6270677		uc007afu.3	Rb1cc1
ENSMUST00000161327.7	chr1	+	6234278	6275577	6234278	6274275	F7CC56	uc287ggi.1	Rb1cc1
ENSMUST00000027040.12	chr1	+	6214644	6276648	6230002	6274275	Q9ESK9	uc007afr.3	Rb1cc1
ENSMUST00000182306.1	chr1	+	7089103	7160902	7089103	7089103		uc287ghk.1	Pcmtd1
ENSMUST00000182388.7	chr1	+	7154866	7163371	7154866	7154866		uc287ghp.1	Pcmtd1
ENSMUST00000182114.7	chr1	+	7088929	7169598	7161009	7169598	S4R2K3	uc287ghj.1	Pcmtd1
ENSMUST00000182675.7	chr1	+	7147636	7170076	7147636	7155134	S4R1A9	uc287ghn.1	Pcmtd1
ENSMUST00000182823.1	chr1	+	7089165	7172122	7089165	7089165		uc287ghl.1	Pcmtd1
ENSMUST00000182892.7	chr1	+	7160084	7172618	7160084	7160084		uc287ghq.1	Pcmtd1
ENSMUST00000183204.1	chr1	+	7160556	7172659	7160556	7160556		uc287ghr.1	Pcmtd1
ENSMUST00000061280.16	chr1	+	7088919	7173628	7120308	7169882	Q3TGS5	uc007agb.1	Pcmtd1
ENSMUST00000057438.6	chr1	-	9718621	9748382	9724481	9748156	A0A0R4J0M9	uc007ags.3	Vcpip1
ENSMUST00000182043.7	chr1	-	9942024	9942897	9942024	9942024		uc287gkl.1	Snhg6
ENSMUST00000182819.7	chr1	-	9942022	9943223	9942022	9942022		uc287gkk.1	Snhg6
ENSMUST00000182498.7	chr1	-	9942024	9944103	9942024	9942024		uc287gkm.1	Snhg6
ENSMUST00000182742.1	chr1	-	9942024	9944117	9942024	9942024		uc287gkn.1	Snhg6
ENSMUST00000182580.7	chr1	-	9941958	9944118	9941958	9941958		uc007aha.2	Snhg6
ENSMUST00000187417.1	chr1	-	10138689	10141701	10138689	10138689		uc287glz.1	Arfgef1
ENSMUST00000142497.1	chr1	-	10147404	10154530	10147404	10147404		uc287gma.1	Arfgef1
ENSMUST00000156563.1	chr1	-	10156398	10160060	10156398	10156398		uc007aho.2	Arfgef1
ENSMUST00000128834.1	chr1	-	10160756	10161306	10160756	10160756		uc287gmb.1	Arfgef1
ENSMUST00000186813.1	chr1	-	10208945	10210107	10208945	10208945		uc287gme.1	Arfgef1
ENSMUST00000186720.1	chr1	-	10209160	10214213	10209160	10209160		uc287gmf.1	Arfgef1
ENSMUST00000088615.10	chr1	-	10137570	10232670	10138831	10232494	G3X9K3	uc007ahn.2	Arfgef1
ENSMUST00000131556.1	chr1	-	10173074	10232670	10173157	10232494	D3YYK9	uc007ahp.2	Arfgef1
ENSMUST00000190935.1	chr1	+	10993517	10996601	10993517	10993517		uc287gmr.1	Prex2
ENSMUST00000189822.1	chr1	+	11098529	11150071	11098529	11098529		uc287gms.1	Prex2
ENSMUST00000187694.1	chr1	+	11140690	11160596	11140690	11140690		uc007ahu.2	Prex2
ENSMUST00000188189.6	chr1	+	11258066	11297898	11258066	11258112	A0A087WRG8	uc287gmv.1	Prex2
ENSMUST00000187745.6	chr1	+	11258105	11298005	11258105	11266011	A0A087WRV5	uc287gmw.1	Prex2
ENSMUST00000188154.1	chr1	+	11283992	11298204	11283992	11284114	A0A087WRD8	uc287gmy.1	Prex2
ENSMUST00000189385.6	chr1	+	11263962	11299594	11263962	11264035	A0A087WS21	uc287gmx.1	Prex2
ENSMUST00000027056.11	chr1	+	10993464	11303681	10993792	11297753	Q3LAC4	uc007ahs.3	Prex2
ENSMUST00000189541.6	chr1	+	12719463	12786549	12786526	12786549	A0A0G2JDD4	uc287gnn.1	Sulf1
ENSMUST00000186405.6	chr1	+	12728118	12786639	12786526	12786639	A0A087WS44	uc287gno.1	Sulf1
ENSMUST00000186674.1	chr1	+	12785442	12788818	12785442	12785442		uc287gnp.1	Sulf1
ENSMUST00000187376.6	chr1	+	12718458	12822916	12718458	12718458		uc007aic.2	Sulf1
ENSMUST00000189447.1	chr1	+	12836027	12840497	12836027	12836027		uc287gnq.1	Sulf1
ENSMUST00000186051.6	chr1	+	12692531	12852489	12786526	12850895	A0A0R4J2D2	uc287gnm.1	Sulf1
ENSMUST00000180062.7	chr1	+	12692322	12860371	12786526	12858842	Q8K007	uc007aib.3	Sulf1
ENSMUST00000088585.9	chr1	+	12718528	12860377	12786526	12858842	Q8K007	uc007aid.2	Sulf1
ENSMUST00000177608.7	chr1	+	12692276	12861192	12786526	12858842	Q8K007	uc007aia.3	Sulf1
ENSMUST00000185780.1	chr1	+	12842790	12861192	12842790	12859629	A0A087WR86	uc287gnr.1	Sulf1
ENSMUST00000088476.3	chr1	+	17601900	17630939	17602578	17624970	A0A0R4J126	uc007ake.2	Pi15
ENSMUST00000186064.6	chr1	-	23369723	23380801	23369723	23369723		uc287gvt.1	Ogfrl1
ENSMUST00000027343.5	chr1	-	23366423	23383175	23369748	23383051	Q8VE52	uc007amb.1	Ogfrl1
ENSMUST00000188677.1	chr1	-	23370267	23397541	23370267	23375824	A0A087WNQ8	uc287gvu.1	Ogfrl1
ENSMUST00000189537.1	chr1	-	23391748	23397772	23391748	23391748		uc007amc.1	Ogfrl1
ENSMUST00000124600.1	chr1	+	24197016	24220785	24197016	24197016		uc287gwo.1	Col9a1
ENSMUST00000147902.1	chr1	+	24229516	24230955	24229516	24229516		uc287gwp.1	Col9a1
ENSMUST00000054588.14	chr1	+	24177609	24252684	24177854	24251861	G3X995	uc007amo.3	Col9a1
ENSMUST00000088349.2	chr1	+	24195186	24252684	24195379	24251861	Q9D0D2	uc007amp.4	Col9a1
ENSMUST00000190190.1	chr1	-	30806204	30809105	30806204	30806204		uc287gzm.1	Phf3
ENSMUST00000191329.1	chr1	-	30803545	30810712	30806148	30810712	A0A087WP76	uc287gzl.1	Phf3
ENSMUST00000187316.1	chr1	-	30811903	30813535	30811903	30811903		uc287gzn.1	Phf3
ENSMUST00000188847.1	chr1	-	30821057	30823843	30821057	30821057		uc287gzq.1	Phf3
ENSMUST00000185521.1	chr1	-	30829430	30830743	30829430	30829430		uc287gzs.1	Phf3
ENSMUST00000187600.1	chr1	-	30824415	30863070	30824415	30824415		uc287gzr.1	Phf3
ENSMUST00000088310.9	chr1	-	30802341	30863256	30803798	30863230	B2RQG2	uc007ane.1	Phf3
ENSMUST00000187968.1	chr1	-	30863069	30873252	30863069	30863230	A0A087WNQ9	uc287gzv.1	Phf3
ENSMUST00000185604.1	chr1	-	30872651	30873475	30872651	30872651		uc287gzx.1	Phf3
ENSMUST00000186733.6	chr1	-	30802338	30873581	30803798	30863230	B2RQG2	uc287gzk.1	Phf3
ENSMUST00000186105.6	chr1	-	30813570	30873695	30813570	30813570		uc287gzo.1	Phf3
ENSMUST00000191064.6	chr1	-	30820225	30873804	30824460	30863230	A0A087WRR9	uc287gzp.1	Phf3
ENSMUST00000188780.1	chr1	-	30831204	30873894	30831204	30863230	A0A087WS81	uc287gzt.1	Phf3
ENSMUST00000191245.6	chr1	-	30815314	30873921	30815314	30815314		uc007ang.2	Phf3
ENSMUST00000095050.4	chr1	+	31615148	31616661	31615148	31615148		uc287hau.1	Gm19680
ENSMUST00000182410.2	chr1	+	34089291	34119153	34089291	34089291		uc287hda.1	Dst
ENSMUST00000239001.1	chr1	+	34077226	34135157	34077302	34135157		uc294jqa.1	Dst
ENSMUST00000182697.7	chr1	+	34005881	34137135	34006005	34135380	A0A0A6YX28	uc007aog.2	Dst
ENSMUST00000182314.7	chr1	+	34006125	34137136	34006163	34135380	A0A0A6YXR1	uc007aoh.2	Dst
ENSMUST00000183006.4	chr1	+	34121249	34154521	34121630	34154521		uc007aok.3	Dst
ENSMUST00000183331.7	chr1	+	34006179	34164700	34006179	34006179		uc287hcx.1	Dst
ENSMUST00000182335.1	chr1	+	34161923	34165401	34161923	34161923		uc287hdd.1	Dst
ENSMUST00000187486.6	chr1	+	34005879	34174795	34006005	34174795	A0A087WRB8	uc287hcw.1	Dst
ENSMUST00000181692.2	chr1	-	34165855	34178271	34165855	34165855		uc287hde.1	Gm26788
ENSMUST00000187268.1	chr1	-	34175030	34178446	34175030	34175030		uc287hdf.1	Gm26788
ENSMUST00000189952.1	chr1	+	34178905	34183247	34178905	34178905		uc287hdg.1	Dst
ENSMUST00000183302.5	chr1	+	34160329	34183904	34160329	34183036	Q91ZU6	uc007aol.3	Dst
ENSMUST00000185897.6	chr1	+	34160329	34193263	34160329	34193263	A0A087WPR7	uc287hdb.1	Dst
ENSMUST00000185736.1	chr1	+	34270569	34272292	34270569	34270569		uc287hdk.1	Dst
ENSMUST00000194192.2	chr1	+	34236595	34274283	34237610	34274283	A0A1D5RLZ3	uc287hdh.1	Dst
ENSMUST00000183100.7	chr1	+	34293454	34303463	34293454	34303463	S4R2A8	uc287hdl.1	Dst
ENSMUST00000182507.3	chr1	+	34294445	34306651	34294445	34306651	S4R2C6	uc287hdm.1	Dst
ENSMUST00000183034.4	chr1	+	33908224	34307592	33908271	34307592	S4R1P5	uc007aon.3	Dst
ENSMUST00000185269.6	chr1	+	34160329	34308404	34160329	34307592	A0A087WSP0	uc287hdc.1	Dst
ENSMUST00000182018.7	chr1	+	34257835	34308404	34257835	34307592	S4R1Y6	uc287hdi.1	Dst
ENSMUST00000115104.9	chr1	+	34011824	34308650	34011824	34307592	E9Q9X1	uc287hcy.1	Dst
ENSMUST00000097786.9	chr1	+	34011812	34308652	34011824	34307592	Q91ZU6	uc007aoj.3	Dst
ENSMUST00000097785.9	chr1	+	34011824	34308661	34011824	34307592	Q91ZU6	uc007aoi.3	Dst
ENSMUST00000194670.1	chr1	+	36101689	36104980	36101689	36101689		uc287hfz.1	Hs6st1
ENSMUST00000088174.3	chr1	+	36068399	36106446	36068657	36104221	Q9QYK5	uc007apn.2	Hs6st1
ENSMUST00000193024.1	chr1	+	37299892	37302766	37299892	37299892		uc007arj.2	Inpp4a
ENSMUST00000146676.1	chr1	+	37299864	37348512	37299864	37299864		uc287hkf.1	Inpp4a
ENSMUST00000123124.1	chr1	+	37377671	37380075	37377671	37377671		uc287hko.1	Inpp4a
ENSMUST00000140264.7	chr1	+	37299914	37399557	37357918	37398924	Q3UEQ1	uc007ark.3	Inpp4a
ENSMUST00000132615.7	chr1	+	37357396	37403690	37357918	37403629	D3YUD3	uc287hkk.1	Inpp4a
ENSMUST00000058307.14	chr1	+	37369216	37404434	37369334	37403629	A0A0R4J0Q2	uc011wjq.3	Inpp4a
ENSMUST00000168546.2	chr1	+	37369220	37404439	37369334	37403629	F6R4N2	uc287hkn.1	Inpp4a
ENSMUST00000114933.8	chr1	+	37369216	37404442	37369334	37403629	E9QAD0	uc007arn.2	Inpp4a
ENSMUST00000137266.7	chr1	+	37357918	37408259	37357918	37408259	D3Z230	uc287hkm.1	Inpp4a
ENSMUST00000132401.7	chr1	+	37300307	37408289	37357918	37408259	D3YUL8	uc287hkg.1	Inpp4a
ENSMUST00000193774.5	chr1	+	37357396	37408469	37357918	37408259	A0A0A6YXS5	uc287hkl.1	Inpp4a
ENSMUST00000136846.7	chr1	+	37300307	37408733	37357918	37408259	E9Q9A0	uc287hkh.1	Inpp4a
ENSMUST00000027287.10	chr1	+	37299890	37410736	37357918	37408259	F6V2U0	uc007arl.4	Inpp4a
ENSMUST00000148047.1	chr1	-	37462915	37496095	37462915	37490382	D3YZH7	uc287hkx.1	Mgat4a
ENSMUST00000143636.7	chr1	-	37444319	37496130	37444658	37490382	D3Z166	uc007arr.3	Mgat4a
ENSMUST00000149791.7	chr1	-	37462912	37496133	37464496	37490382	D6RG46	uc287hkw.1	Mgat4a
ENSMUST00000194660.1	chr1	-	37495725	37498838	37495725	37495725		uc287hkz.1	Mgat4a
ENSMUST00000042161.14	chr1	-	37439339	37536235	37444658	37536132	Q812G0	uc287hkv.1	Mgat4a
ENSMUST00000195598.1	chr1	-	37533212	37536251	37533212	37533212		uc287hla.1	Mgat4a
ENSMUST00000154819.7	chr1	-	37443715	37536404	37444658	37536132	Q812G0	uc007aru.3	Mgat4a
ENSMUST00000151952.7	chr1	-	37439339	37541016	37444658	37536132	Q812G0	uc007arv.3	Mgat4a
ENSMUST00000173050.7	chr1	+	39193730	39287615	39263343	39287615	G3UYV8	uc287hnx.1	Npas2
ENSMUST00000172825.1	chr1	+	39341554	39345466	39341554	39341554		uc287hoa.1	Npas2
ENSMUST00000056815.8	chr1	+	39194211	39363236	39263343	39362007	G3X9B7	uc007atd.3	Npas2
ENSMUST00000192099.1	chr1	-	39371866	39372433	39372348	39372433	A0A0A6YVT5	uc287hod.1	Tbc1d8
ENSMUST00000195854.1	chr1	-	39391197	39392631	39391197	39391197		uc287hof.1	Tbc1d8
