#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.knownGene.cdsStart	mm10.knownGene.cdsEnd	mm10.knownGene.proteinID	mm10.knownGene.alignID	mm10.kgXref.geneSymbol
ENSMUST00000156222.1	chr1	-	13629994	13638411	13629994	13629994		uc287gor.1	Lactb2
ENSMUST00000027071.6	chr1	-	13623329	13660546	13626860	13660450	Q99KR3	uc007aiu.4	Lactb2
ENSMUST00000152626.1	chr1	+	16130501	16132547	16130501	16130501		uc287gqg.1	Rdh10
ENSMUST00000027053.7	chr1	+	16105773	16133734	16106017	16131417	Q8VCH7	uc007ajm.2	Rdh10
ENSMUST00000132647.1	chr1	-	20374721	20409448	20374721	20374721		uc287gth.1	Pkhd1
ENSMUST00000128051.1	chr1	-	20606296	20618040	20606296	20606296		uc287gtk.1	Pkhd1
ENSMUST00000088448.11	chr1	-	20057778	20618064	20058297	20615323	E9PZ36	uc007akv.2	Pkhd1
ENSMUST00000147480.7	chr1	-	20592952	20618064	20592952	20592952		uc007akw.2	Pkhd1
ENSMUST00000188112.1	chr1	-	20803005	20803721	20803005	20803005		uc287gts.1	Mcm3
ENSMUST00000191061.1	chr1	-	20803164	20804933	20803164	20803164		uc287gtt.1	Mcm3
ENSMUST00000190421.1	chr1	-	20804685	20805940	20804685	20804685		uc287gtu.1	Mcm3
ENSMUST00000185296.1	chr1	-	20802972	20820260	20802972	20802972		uc287gtr.1	Mcm3
ENSMUST00000053266.10	chr1	-	20802967	20820312	20803455	20820208	Q3UI57	uc007alc.2	Mcm3
ENSMUST00000189552.1	chr1	-	33478941	33622142	33478941	33478941		uc007anr.2	Prim2
ENSMUST00000187353.1	chr1	-	33620877	33623324	33620877	33620877		uc287hbu.1	Prim2
ENSMUST00000027312.10	chr1	-	33453809	33669795	33454085	33669011	P33610	uc007anq.3	Prim2
ENSMUST00000155484.1	chr1	-	33746738	33748719	33746738	33746738		uc287hce.1	Bag2
ENSMUST00000189741.1	chr1	-	33756772	33757727	33756772	33756772		uc287hch.1	Bag2
ENSMUST00000187602.1	chr1	-	33746801	33757741	33746955	33757691	A0A087WNX9	uc287hcf.1	Bag2
ENSMUST00000044691.8	chr1	-	33745483	33757795	33746606	33757691	Q91YN9	uc007any.2	Bag2
ENSMUST00000056946.7	chr1	-	36264596	36273435	36266359	36273365	Q8CJC5	uc007aps.2	Neurl3
ENSMUST00000188666.2	chr1	-	36268860	36274679	36269141	36273365	A0A087WP78	uc007apt.2	Neurl3
ENSMUST00000142145.1	chr1	+	45795502	45802355	45795502	45795502		uc287hvo.1	Wdr75
ENSMUST00000147308.1	chr1	+	45795506	45803929	45795521	45803929	D3Z504	uc287hvp.1	Wdr75
ENSMUST00000146602.1	chr1	+	45803685	45805447	45803685	45803685		uc287hvr.1	Wdr75
ENSMUST00000186308.1	chr1	+	45822264	45823513	45822264	45822264		uc287hvt.1	Wdr75
ENSMUST00000143737.7	chr1	+	45801988	45823515	45801988	45801988		uc287hvq.1	Wdr75
ENSMUST00000154436.7	chr1	+	45795448	45823604	45795448	45795448		uc287hvn.1	Wdr75
ENSMUST00000186651.1	chr1	+	45822557	45823616	45822557	45823358	A0A087WQ22	uc287hvu.1	Wdr75
ENSMUST00000027139.14	chr1	+	45795165	45823619	45795521	45823515	Q3U821	uc007awt.2	Wdr75
ENSMUST00000135662.7	chr1	+	45814677	45823619	45814677	45814677		uc287hvs.1	Wdr75
ENSMUST00000188252.6	chr1	-	45918927	45923309	45918927	45918927		uc287hwa.1	Slc40a1
ENSMUST00000186822.1	chr1	-	45918935	45925262	45918935	45918935		uc287hwb.1	Slc40a1
ENSMUST00000027137.10	chr1	-	45908067	45925582	45909405	45925263	Q9JHI9	uc007awu.2	Slc40a1
ENSMUST00000191247.6	chr1	-	45915240	45925609	45915240	45915240		uc007awv.2	Slc40a1
ENSMUST00000186804.1	chr1	-	45921216	45926519	45921216	45925263	C5H8V4	uc287hwc.1	Slc40a1
ENSMUST00000187406.6	chr1	-	45921216	45926519	45921216	45925263	C5H8V4	uc287hwd.1	Slc40a1
ENSMUST00000187420.6	chr1	-	45921216	45926519	45921216	45925263	C5H8V4	uc287hwe.1	Slc40a1
ENSMUST00000186755.1	chr1	-	45923731	45926523	45923731	45923731		uc287hwf.1	Slc40a1
ENSMUST00000141226.2	chr1	-	46817601	46835899	46817601	46817601		uc287hwu.1	Slc39a10
ENSMUST00000027131.5	chr1	-	46807543	46854046	46809952	46836140	Q6P5F6	uc007axc.2	Slc39a10
ENSMUST00000185520.1	chr1	-	46835737	46888070	46835737	46888006	A0A087WRC8	uc287hww.1	Slc39a10
ENSMUST00000186852.1	chr1	-	46835639	46892852	46835639	46836140	A0A087WQF7	uc287hwv.1	Slc39a10
ENSMUST00000186103.6	chr1	+	50900646	50913925	50900646	50900646		uc007axh.1	Tmeff2
ENSMUST00000139157.7	chr1	+	50900646	50915430	50900646	50900646		uc287hye.1	Tmeff2
ENSMUST00000114565.7	chr1	+	50909961	50979920	50927947	50979649	A0A0R4J1J9	uc007axi.2	Tmeff2
ENSMUST00000081851.3	chr1	+	50927518	51187270	50927947	51185481	Q9QYM9	uc007axj.2	Tmeff2
ENSMUST00000191076.1	chr1	+	52645180	52650027	52645180	52645180		uc287ibc.1	Nemp2
ENSMUST00000185483.6	chr1	+	52630746	52650636	52630757	52643188	Q8CB65	uc287iay.1	Nemp2
ENSMUST00000190452.6	chr1	+	52641983	52650656	52641983	52641983		uc287ibb.1	Nemp2
ENSMUST00000185790.6	chr1	+	52630796	52650702	52630796	52645359	A0A087WQU8	uc287iaz.1	Nemp2
ENSMUST00000190108.6	chr1	+	52630751	52650729	52630751	52630751		uc029qol.2	Nemp2
ENSMUST00000165859.7	chr1	+	52630702	52651919	52630757	52649844	Q8CB65	uc011wkp.2	Nemp2
ENSMUST00000188507.6	chr1	+	52630736	52651919	52630757	52645359	A0A087WQD9	uc287iax.1	Nemp2
ENSMUST00000186903.6	chr1	+	52641515	52651919	52641515	52641515		uc287iba.1	Nemp2
ENSMUST00000159607.1	chr1	-	52790055	52795048	52790055	52790055		uc287ibk.1	Inpp1
ENSMUST00000177279.7	chr1	-	52789667	52799488	52794541	52799488	H3BK26	uc287ibj.1	Inpp1
ENSMUST00000159725.1	chr1	-	52797065	52800371	52797065	52799488	E0CYQ4	uc287ibn.1	Inpp1
ENSMUST00000162351.1	chr1	-	52796978	52817451	52796978	52796978		uc287ibm.1	Inpp1
ENSMUST00000162576.7	chr1	-	52794664	52817568	52794664	52799488	E0CX64	uc287ibl.1	Inpp1
ENSMUST00000027271.8	chr1	-	52785426	52817688	52789667	52799488	P49442	uc007ayo.4	Inpp1
ENSMUST00000187255.1	chr1	+	57377639	57380078	57377639	57377639		uc287igg.1	1700066M21Rik
ENSMUST00000185952.1	chr1	+	57377632	57380162	57377632	57377632		uc287igf.1	1700066M21Rik
ENSMUST00000042734.2	chr1	+	57377619	57385423	57377670	57383564	Q9D9H8	uc007bay.3	1700066M21Rik
ENSMUST00000168895.1	chr1	+	57774916	57799580	57774916	57774916		uc287ihg.1	Spats2l
ENSMUST00000163922.1	chr1	+	57774418	57800438	57774418	57774418		uc287igz.1	Spats2l
ENSMUST00000165235.1	chr1	+	57774911	57832306	57774911	57774911		uc287ihf.1	Spats2l
ENSMUST00000168016.7	chr1	+	57774889	57857541	57774889	57774889		uc287ihe.1	Spats2l
ENSMUST00000168905.7	chr1	+	57774248	57879723	57774248	57774248		uc287igw.1	Spats2l
ENSMUST00000172287.7	chr1	+	57774161	57885768	57832099	57885768	E9Q1C3	uc287igv.1	Spats2l
ENSMUST00000167971.7	chr1	+	57774599	57885836	57832099	57885836	E9Q8P1	uc287iha.1	Spats2l
ENSMUST00000172068.7	chr1	+	57774300	57902109	57832099	57902109	E9Q106	uc287igx.1	Spats2l
ENSMUST00000171699.7	chr1	+	57774743	57938021	57832099	57938021	E9Q5S6	uc287ihc.1	Spats2l
ENSMUST00000164353.2	chr1	+	57902070	57938021	57902070	57902070		uc287ihh.1	Spats2l
ENSMUST00000163239.7	chr1	+	57774364	57946964	57885825	57946463	E9Q7S4	uc287igy.1	Spats2l
ENSMUST00000170139.7	chr1	+	57774734	57946965	57855485	57946463	Q91WJ7	uc287ihb.1	Spats2l
ENSMUST00000164302.7	chr1	+	57774754	57946965	57855485	57946463	E9PZE9	uc287ihd.1	Spats2l
ENSMUST00000169772.2	chr1	+	57845570	57946965	57855485	57946463	Q91WJ7	uc007bbe.3	Spats2l
ENSMUST00000167085.7	chr1	+	57774860	57948394	57832099	57946463	E9PVQ3	uc007bbd.3	Spats2l
ENSMUST00000188898.6	chr1	+	58393123	58403004	58394211	58403004	A0A087WPF9	uc287iif.1	Bzw1
ENSMUST00000186949.1	chr1	+	58393469	58405131	58393540	58405066	A0A087WQS2	uc287iih.1	Bzw1
ENSMUST00000188630.6	chr1	+	58393131	58405487	58394211	58400783	A0A087WS48	uc287iig.1	Bzw1
ENSMUST00000050552.14	chr1	+	58392897	58407353	58394211	58405066	Q9CQC6	uc007bbr.2	Bzw1
ENSMUST00000188469.1	chr1	-	59216343	59219126	59216343	59216343		uc056ycy.1	Als2
ENSMUST00000163058.1	chr1	-	59164057	59237093	59164176	59220394	Q920R0	uc011wlp.2	Als2
ENSMUST00000160945.1	chr1	-	59215650	59237226	59215650	59215857	A0A087WSC7	uc287iln.1	Als2
ENSMUST00000027178.12	chr1	-	59162925	59237231	59164176	59220394	Q920R0	uc007bdm.3	Als2
ENSMUST00000159166.7	chr1	-	59191608	59237231	59191608	59191608		uc007bdn.4	Als2
ENSMUST00000149310.7	chr1	-	65168588	65175564	65168588	65175352	D3YVY3	uc287ivd.1	Idh1
ENSMUST00000097709.10	chr1	-	65158615	65179181	65159464	65175352	O88844	uc007bhn.3	Idh1
ENSMUST00000188109.6	chr1	-	65166198	65186438	65166198	65175352	A0A087WRS9	uc287ivb.1	Idh1
ENSMUST00000186222.6	chr1	-	65171119	65186459	65171119	65175352	A0A087WRM4	uc287ive.1	Idh1
ENSMUST00000169032.7	chr1	-	65158617	65186479	65159464	65175352	O88844	uc011wmj.2	Idh1
ENSMUST00000191459.1	chr1	-	65175295	65186479	65175295	65175352	A0A087WNN7	uc287ivf.1	Idh1
ENSMUST00000188876.6	chr1	-	65166243	65186500	65166243	65175352	A0A087WPT4	uc287ivc.1	Idh1
ENSMUST00000027379.9	chr1	+	72307426	72394952	72307546	72394722	P27641	uc007bkl.4	Xrcc5
ENSMUST00000186971.1	chr1	-	75215955	75217414	75216424	75217414	A0A087WQS4	uc287jjr.1	Tuba4a
ENSMUST00000188593.1	chr1	-	75215611	75217434	75216588	75217434	A0A087WS35	uc287jjq.1	Tuba4a
ENSMUST00000079464.12	chr1	-	75214971	75218624	75215621	75218624	A0A0A0MQA5	uc287jjp.1	Tuba4a
ENSMUST00000190717.6	chr1	-	75216888	75218888	75216888	75217392	A0A087WSL5	uc287jju.1	Tuba4a
ENSMUST00000189131.1	chr1	-	75216912	75218888	75216912	75217392	A0A087WSB0	uc287jjv.1	Tuba4a
ENSMUST00000187103.1	chr1	-	75216434	75219243	75216434	75216434		uc287jjs.1	Tuba4a
ENSMUST00000186213.6	chr1	-	75214227	75219294	75215621	75219195	P68368	uc007bok.3	Tuba4a
ENSMUST00000186758.6	chr1	-	75216856	75219865	75216856	75217392	A0A087WRB4	uc287jjt.1	Tuba4a
ENSMUST00000188628.1	chr1	+	75237074	75237524	75237074	75237074		uc287jkb.1	Dnajb2
