ENMUST_ID	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENSMUST00000150971.7	chr1	+	4807829	4841286	4807913	4841159	8	4807829,4808454,4828583,4830267,4832310,4837000,4839386,4840955,	4807982,4808486,4828649,4830315,4832381,4837074,4839488,4841286,	P97823	uc287ges.1
ENSMUST00000027036.10	chr1	+	4807822	4846739	4807913	4845016	9	4807822,4808454,4828583,4830267,4832310,4837000,4839386,4840955,4844962,	4807982,4808486,4828649,4830315,4832381,4837074,4839488,4841132,4846739,	P97823	uc007afh.2
ENSMUST00000081551.13	chr1	+	4857813	4897905	4857913	4896364	10	4857813,4867469,4878026,4886743,4889456,4890739,4891914,4893416,4894933,4896355,	4857976,4867532,4878132,4886831,4889602,4890796,4892069,4893563,4895005,4897905,	Q3UWX7	uc007afi.3
ENSMUST00000165720.2	chr1	+	4858037	4897909	4858407	4896364	10	4858037,4867469,4878026,4886743,4889456,4890739,4891914,4893416,4894933,4896355,	4858503,4867532,4878132,4886831,4889602,4890796,4892069,4893563,4895005,4897909,	E9PYD5	uc011whu.2
ENSMUST00000162210.7	chr1	+	6214662	6230704	6214662	6214662	3	6214662,6227939,6229958,	6214957,6228049,6230704,		uc287ggf.1
ENSMUST00000160062.7	chr1	+	6215007	6234010	6230002	6234010	4	6215007,6227939,6229958,6233960,	6215252,6228049,6230073,6234010,	E0CYU7	uc287ggg.1
ENSMUST00000159906.7	chr1	+	6206196	6234311	6230002	6234311	6	6206196,6223598,6227939,6229958,6233960,6234228,	6206270,6223745,6228049,6230073,6234087,6234311,	E0CZG6	uc287gga.1
ENSMUST00000160871.7	chr1	+	6206226	6238384	6230002	6238384	6	6206226,6227939,6229958,6233960,6234228,6238261,	6206270,6228049,6230073,6234087,6234399,6238384,	E0CYY6	uc287ggb.1
ENSMUST00000159802.1	chr1	+	6240969	6248358	6240969	6240969	8	6240969,6244794,6245157,6245424,6245597,6247705,6248065,6248275,	6244275,6244979,6245344,6245506,6245659,6247809,6248192,6248358,		uc287ggj.1
ENSMUST00000162795.7	chr1	+	6228001	6249029	6230002	6249029	14	6228001,6229958,6233960,6234228,6238261,6239951,6244104,6244794,6245157,6245424,6245597,6247705,6248065,6248275,	6228049,6230073,6234087,6234399,6238464,6240378,6244275,6244928,6245344,6245506,6245659,6247809,6248192,6249029,	E9PX56	uc287ggh.1
ENSMUST00000159206.1	chr1	+	6249976	6251258	6249976	6249976	2	6249976,6250930,	6250167,6251258,		uc287ggl.1
ENSMUST00000161183.1	chr1	+	6260784	6262854	6260784	6260784	2	6260784,6262833,	6261095,6262854,		uc287ggn.1
ENSMUST00000159349.1	chr1	+	6262902	6264893	6262902	6262902	3	6262902,6263023,6264541,	6262942,6263264,6264893,		uc287ggo.1
ENSMUST00000159661.7	chr1	+	6250094	6265810	6250094	6250094	6	6250094,6260929,6262833,6263023,6264541,6265573,	6250167,6261095,6262942,6263264,6264590,6265810,		uc287ggm.1
ENSMUST00000162418.1	chr1	+	6265605	6272765	6265605	6265605	3	6265605,6268697,6270690,	6265621,6268756,6272765,		uc287ggq.1
ENSMUST00000159530.1	chr1	+	6262932	6274489	6262932	6274275	8	6262932,6263023,6264541,6265573,6268697,6270690,6272700,6274197,	6262942,6263264,6264590,6265621,6268756,6270818,6272771,6274489,	F6TLJ4	uc287ggp.1
ENSMUST00000162257.7	chr1	+	6249087	6274490	6249087	6265586	9	6249087,6260929,6262833,6263023,6265573,6268697,6270690,6272700,6274197,	6250167,6261095,6262942,6263264,6265621,6268756,6270827,6272771,6274490,	F7CCJ3	uc287ggk.1
ENSMUST00000159656.1	chr1	+	6270677	6275575	6270677	6270677	3	6270677,6272700,6274197,	6270827,6272771,6275575,		uc007afu.3
ENSMUST00000161327.7	chr1	+	6234278	6275577	6234278	6274275	21	6234278,6238261,6239951,6240304,6244104,6244794,6245157,6245424,6245597,6247705,6248065,6248275,6260929,6262833,6263023,6264541,6265573,6268697,6270690,6272700,6274197,	6234399,6238464,6240190,6240378,6244275,6244979,6245344,6245506,6245659,6247809,6248192,6250167,6261095,6262942,6263264,6264590,6265621,6268756,6270827,6272771,6275577,	F7CC56	uc287ggi.1
ENSMUST00000027040.12	chr1	+	6214644	6276648	6230002	6274275	24	6214644,6227939,6229958,6233960,6234228,6238261,6239951,6244104,6244794,6245157,6245424,6245597,6247705,6248065,6248275,6260929,6262833,6263023,6264541,6265573,6268697,6270690,6272700,6274197,	6214957,6228049,6230073,6234087,6234399,6238464,6240378,6244275,6244979,6245344,6245506,6245659,6247809,6248192,6250167,6261095,6262942,6263264,6264590,6265621,6268756,6270827,6272771,6276648,	Q9ESK9	uc007afr.3
ENSMUST00000182306.1	chr1	+	7089103	7160902	7089103	7089103	4	7089103,7147636,7155079,7160891,	7089216,7147739,7155271,7160902,		uc287ghk.1
ENSMUST00000182388.7	chr1	+	7154866	7163371	7154866	7154866	3	7154866,7160891,7163247,	7155271,7161063,7163371,		uc287ghp.1
ENSMUST00000182114.7	chr1	+	7088929	7169598	7161009	7169598	5	7088929,7147636,7160891,7163247,7169514,	7089216,7147739,7161063,7163371,7169598,	S4R2K3	uc287ghj.1
ENSMUST00000182675.7	chr1	+	7147636	7170076	7147636	7155134	5	7147636,7155079,7160891,7163247,7169514,	7147739,7155271,7161063,7163371,7170076,	S4R1A9	uc287ghn.1
ENSMUST00000182823.1	chr1	+	7089165	7172122	7089165	7089165	2	7089165,7169514,	7089216,7172122,		uc287ghl.1
ENSMUST00000182892.7	chr1	+	7160084	7172618	7160084	7160084	3	7160084,7163247,7169514,	7161063,7163371,7172618,		uc287ghq.1
ENSMUST00000183204.1	chr1	+	7160556	7172659	7160556	7160556	4	7160556,7163247,7166308,7169514,	7161063,7163371,7166518,7172659,		uc287ghr.1
ENSMUST00000061280.16	chr1	+	7088919	7173628	7120308	7169882	6	7088919,7120193,7147636,7160891,7163247,7169514,	7089216,7120615,7147739,7161063,7163371,7173628,	Q3TGS5	uc007agb.1
ENSMUST00000057438.6	chr1	-	9718621	9748382	9724481	9748156	3	9718621,9736965,9745449,	9725350,9737052,9748382,	A0A0R4J0M9	uc007ags.3
ENSMUST00000182043.7	chr1	-	9942024	9942897	9942024	9942024	2	9942024,9942609,	9942391,9942897,		uc287gkl.1
ENSMUST00000182819.7	chr1	-	9942022	9943223	9942022	9942022	3	9942022,9942322,9942609,	9942155,9942391,9943223,		uc287gkk.1
ENSMUST00000182498.7	chr1	-	9942024	9944103	9942024	9942024	3	9942024,9942609,9944019,	9942391,9942717,9944103,		uc287gkm.1
ENSMUST00000182742.1	chr1	-	9942024	9944117	9942024	9942024	4	9942024,9942322,9942609,9944019,	9942149,9942391,9942717,9944117,		uc287gkn.1
ENSMUST00000182580.7	chr1	-	9941958	9944118	9941958	9941958	4	9941958,9942322,9942609,9944019,	9942155,9942391,9942717,9944118,		uc007aha.2
ENSMUST00000187417.1	chr1	-	10138689	10141701	10138689	10138689	3	10138689,10140466,10141558,	10138996,10140584,10141701,		uc287glz.1
ENSMUST00000142497.1	chr1	-	10147404	10154530	10147404	10147404	5	10147404,10151800,10153385,10153606,10154280,	10147535,10151873,10153524,10153742,10154530,		uc287gma.1
ENSMUST00000156563.1	chr1	-	10156398	10160060	10156398	10156398	2	10156398,10159876,	10159740,10160060,		uc007aho.2
ENSMUST00000128834.1	chr1	-	10160756	10161306	10160756	10160756	2	10160756,10160962,	10160870,10161306,		uc287gmb.1
ENSMUST00000186813.1	chr1	-	10208945	10210107	10208945	10208945	1	10208945,	10210107,		uc287gme.1
ENSMUST00000186720.1	chr1	-	10209160	10214213	10209160	10209160	3	10209160,10213043,10214124,	10209701,10213223,10214213,		uc287gmf.1
ENSMUST00000088615.10	chr1	-	10137570	10232670	10138831	10232494	38	10137570,10140466,10141558,10142575,10144717,10147402,10151800,10153385,10153606,10154280,10156913,10157899,10159567,10159876,10160700,10160962,10163696,10172833,10173193,10174066,10179825,10180869,10183662,10183975,10184385,10188756,10189226,10189438,10194256,10198842,10199728,10204807,10209424,10213043,10214124,10215836,10216528,10232370,	10138996,10140584,10141697,10142744,10144857,10147535,10151873,10153524,10153742,10154410,10157044,10158060,10159740,10160028,10160870,10161003,10163787,10172984,10173352,10174195,10179977,10181041,10183747,10184181,10184497,10188958,10189335,10189678,10194491,10198976,10199904,10204909,10209701,10213223,10214271,10215993,10216559,10232670,	G3X9K3	uc007ahn.2
ENSMUST00000131556.1	chr1	-	10173074	10232670	10173157	10232494	20	10173074,10174066,10179825,10180869,10183662,10183975,10184385,10188756,10189226,10189438,10194256,10198842,10199728,10204807,10209424,10213043,10214124,10215836,10216528,10232370,	10173352,10174195,10179977,10181041,10183747,10184181,10184497,10188958,10189335,10189678,10194491,10198976,10199904,10204909,10209701,10213223,10214271,10215993,10216559,10232670,	D3YYK9	uc007ahp.2
ENSMUST00000190935.1	chr1	+	10993517	10996601	10993517	10993517	1	10993517,	10996601,		uc287gmr.1
ENSMUST00000189822.1	chr1	+	11098529	11150071	11098529	11098529	13	11098529,11101063,11107602,11110281,11112742,11123120,11123813,11132337,11136764,11139955,11140235,11142648,11149809,	11098596,11101167,11107752,11110426,11112843,11123224,11123863,11132413,11136837,11140098,11140328,11142797,11150071,		uc287gms.1
ENSMUST00000187694.1	chr1	+	11140690	11160596	11140690	11140690	5	11140690,11149809,11153542,11156240,11160095,	11142797,11149895,11153679,11156358,11160596,		uc007ahu.2
ENSMUST00000188189.6	chr1	+	11258066	11297898	11258066	11258112	6	11258066,11265678,11265968,11285056,11289252,11297707,	11258172,11265745,11266159,11285159,11289320,11297898,	A0A087WRG8	uc287gmv.1
ENSMUST00000187745.6	chr1	+	11258105	11298005	11258105	11266011	6	11258105,11265678,11265993,11285056,11289252,11297707,	11258172,11265745,11266159,11285159,11289320,11298005,	A0A087WRV5	uc287gmw.1
ENSMUST00000188154.1	chr1	+	11283992	11298204	11283992	11284114	4	11283992,11285056,11289252,11297707,	11284167,11285159,11289320,11298204,	A0A087WRD8	uc287gmy.1
ENSMUST00000189385.6	chr1	+	11263962	11299594	11263962	11264035	6	11263962,11265678,11265968,11285056,11289252,11297707,	11264095,11265745,11266159,11285159,11289320,11299594,	A0A087WS21	uc287gmx.1
ENSMUST00000027056.11	chr1	+	10993464	11303681	10993792	11297753	40	10993464,11061325,11065793,11068010,11080022,11089716,11098462,11101063,11107602,11110281,11112742,11123120,11123813,11132337,11136764,11139955,11140235,11142648,11149809,11153542,11156240,11160095,11162239,11169852,11170583,11181854,11184445,11185129,11185886,11186636,11193512,11199834,11204065,11208511,11231681,11265678,11265968,11285056,11289252,11297707,	10993909,11061397,11065916,11068115,11080124,11089878,11098596,11101167,11107752,11110426,11112843,11123224,11123863,11132413,11136837,11140098,11140328,11142797,11149895,11153679,11156358,11160280,11162401,11170075,11170791,11182034,11184540,11185212,11185977,11186765,11193554,11200052,11204168,11208655,11231796,11265745,11266159,11285159,11289320,11303681,	Q3LAC4	uc007ahs.3
ENSMUST00000189541.6	chr1	+	12719463	12786549	12786526	12786549	4	12719463,12728593,12786078,12786467,	12719579,12728688,12786151,12786549,	A0A0G2JDD4	uc287gnn.1
ENSMUST00000186405.6	chr1	+	12728118	12786639	12786526	12786639	3	12728118,12786078,12786467,	12728688,12786151,12786639,	A0A087WS44	uc287gno.1
ENSMUST00000186674.1	chr1	+	12785442	12788818	12785442	12785442	3	12785442,12786078,12786467,	12785599,12786151,12788818,		uc287gnp.1
ENSMUST00000187376.6	chr1	+	12718458	12822916	12718458	12718458	12	12718458,12728593,12786078,12786467,12796765,12805179,12807853,12817337,12818377,12820400,12820794,12821969,	12718783,12728688,12786151,12786698,12797005,12805331,12808023,12817488,12818553,12820529,12820851,12822916,		uc007aic.2
ENSMUST00000189447.1	chr1	+	12836027	12840497	12836027	12836027	4	12836027,12838358,12839828,12840402,	12836329,12838611,12839925,12840497,		uc287gnq.1
ENSMUST00000186051.6	chr1	+	12692531	12852489	12786526	12850895	22	12692531,12728593,12786078,12786467,12796765,12805179,12807853,12817337,12818377,12820400,12820794,12821969,12836112,12838358,12839828,12840402,12841442,12842648,12848094,12848330,12850759,12850888,	12692684,12728688,12786151,12786698,12797005,12805331,12808023,12817488,12818553,12820529,12820851,12822099,12836329,12838611,12839925,12840497,12841508,12842824,12848237,12848454,12850793,12852489,	A0A0R4J2D2	uc287gnm.1
ENSMUST00000180062.7	chr1	+	12692322	12860371	12786526	12858842	21	12692322,12786078,12786467,12796765,12805179,12807853,12817337,12818377,12820400,12820794,12821969,12836112,12838358,12839828,12840402,12841442,12842648,12848094,12848330,12850759,12858811,	12692684,12786151,12786698,12797005,12805331,12808023,12817488,12818553,12820529,12820851,12822099,12836329,12838611,12839925,12840497,12841508,12842824,12848237,12848454,12850793,12860371,	Q8K007	uc007aib.3
ENSMUST00000088585.9	chr1	+	12718528	12860377	12786526	12858842	22	12718528,12728593,12786078,12786467,12796765,12805179,12807853,12817337,12818377,12820400,12820794,12821969,12836112,12838358,12839828,12840402,12841442,12842648,12848094,12848330,12850759,12858811,	12718783,12728688,12786151,12786698,12797005,12805331,12808023,12817488,12818553,12820529,12820851,12822099,12836329,12838611,12839925,12840497,12841508,12842824,12848237,12848454,12850793,12860377,	Q8K007	uc007aid.2
ENSMUST00000177608.7	chr1	+	12692276	12861192	12786526	12858842	22	12692276,12728593,12786078,12786467,12796765,12805179,12807853,12817337,12818377,12820400,12820794,12821969,12836112,12838358,12839828,12840402,12841442,12842648,12848094,12848330,12850759,12858811,	12692684,12728688,12786151,12786698,12797005,12805331,12808023,12817488,12818553,12820529,12820851,12822099,12836329,12838611,12839925,12840497,12841508,12842824,12848237,12848454,12850793,12861192,	Q8K007	uc007aia.3
ENSMUST00000185780.1	chr1	+	12842790	12861192	12842790	12859629	4	12842790,12848094,12848330,12858811,	12842824,12848237,12848454,12861192,	A0A087WR86	uc287gnr.1
ENSMUST00000088476.3	chr1	+	17601900	17630939	17602578	17624970	6	17601900,17602576,17619782,17621400,17621646,17624834,	17602042,17602884,17619901,17621533,17621762,17630939,	A0A0R4J126	uc007ake.2
ENSMUST00000186064.6	chr1	-	23369723	23380801	23369723	23369723	6	23369723,23375729,23375987,23376170,23378725,23378971,	23370448,23375875,23376054,23376249,23378804,23380801,		uc287gvt.1
