#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.knownGene.alignID	mm10.kgXref.kgID	mm10.kgXref.mRNA	mm10.kgXref.spID	mm10.kgXref.spDisplayID	mm10.kgXref.geneSymbol	mm10.kgXref.refseq	mm10.kgXref.protAcc	mm10.kgXref.description	mm10.kgXref.tRnaName
ENSMUST00000156222.1	chr1	-	13629994	13638411	uc287gor.1	ENSMUST00000156222.1	AK088932			Lactb2			Lactb2 (from geneSymbol)	
ENSMUST00000027071.6	chr1	-	13623329	13660546	uc007aiu.4	ENSMUST00000027071.6	NM_145381	Q99KR3	LACB2_MOUSE	Lactb2	NM_145381	NM_145381	Mus musculus lactamase, beta 2 (Lactb2), mRNA. (from RefSeq NM_145381)	
ENSMUST00000152626.1	chr1	+	16130501	16132547	uc287gqg.1	ENSMUST00000152626.1	AK014244			Rdh10			Rdh10 (from geneSymbol)	
ENSMUST00000027053.7	chr1	+	16105773	16133734	uc007ajm.2	ENSMUST00000027053.7	NM_133832	Q8VCH7	RDH10_MOUSE	Rdh10	NM_133832	NM_133832	Mus musculus retinol dehydrogenase 10 (all-trans) (Rdh10), mRNA. (from RefSeq NM_133832)	
ENSMUST00000132647.1	chr1	-	20374721	20409448	uc287gth.1	ENSMUST00000132647.1	AY130764			Pkhd1			Pkhd1 (from geneSymbol)	
ENSMUST00000128051.1	chr1	-	20606296	20618040	uc287gtk.1	ENSMUST00000128051.1	AK143992			Pkhd1			Pkhd1 (from geneSymbol)	
ENSMUST00000088448.11	chr1	-	20057778	20618064	uc007akv.2	ENSMUST00000088448.11	NM_153179	E9PZ36	E9PZ36_MOUSE	Pkhd1	NM_153179	NM_153179	Mus musculus polycystic kidney and hepatic disease 1 (Pkhd1), mRNA. (from RefSeq NM_153179)	
ENSMUST00000147480.7	chr1	-	20592952	20618064	uc007akw.2	ENSMUST00000147480.7	AK052698			Pkhd1			Pkhd1 (from geneSymbol)	
ENSMUST00000188112.1	chr1	-	20803005	20803721	uc287gts.1	ENSMUST00000188112.1	AK219838			Mcm3			Mcm3 (from geneSymbol)	
ENSMUST00000191061.1	chr1	-	20803164	20804933	uc287gtt.1	ENSMUST00000191061.1	AK147065			Mcm3			Mcm3 (from geneSymbol)	
ENSMUST00000190421.1	chr1	-	20804685	20805940	uc287gtu.1	ENSMUST00000190421.1	AK088142			Mcm3			Mcm3 (from geneSymbol)	
ENSMUST00000185296.1	chr1	-	20802972	20820260	uc287gtr.1	ENSMUST00000185296.1	AK088142			Mcm3			Mcm3 (from geneSymbol)	
ENSMUST00000053266.10	chr1	-	20802967	20820312	uc007alc.2	ENSMUST00000053266.10	NM_008563	Q3UI57	Q3UI57_MOUSE	Mcm3	NM_008563	NM_008563	Mus musculus minichromosome maintenance complex component 3 (Mcm3), mRNA. (from RefSeq NM_008563)	
ENSMUST00000189552.1	chr1	-	33478941	33622142	uc007anr.2	ENSMUST00000189552.1	AK166687			Prim2			Prim2 (from geneSymbol)	
ENSMUST00000187353.1	chr1	-	33620877	33623324	uc287hbu.1	ENSMUST00000187353.1				Prim2			Prim2 (from geneSymbol)	
ENSMUST00000027312.10	chr1	-	33453809	33669795	uc007anq.3	ENSMUST00000027312.10	NM_008922	P33610	PRI2_MOUSE	Prim2	NM_008922	NM_008922	Mus musculus DNA primase, p58 subunit (Prim2), mRNA. (from RefSeq NM_008922)	
ENSMUST00000155484.1	chr1	-	33746738	33748719	uc287hce.1	ENSMUST00000155484.1	AK083600			Bag2			Bag2 (from geneSymbol)	
ENSMUST00000189741.1	chr1	-	33756772	33757727	uc287hch.1	ENSMUST00000189741.1	LF192606			Bag2			Bag2 (from geneSymbol)	
ENSMUST00000187602.1	chr1	-	33746801	33757741	uc287hcf.1	ENSMUST00000187602.1	BC016230	A0A087WNX9		Bag2			Bag2 (from geneSymbol)	
ENSMUST00000044691.8	chr1	-	33745483	33757795	uc007any.2	ENSMUST00000044691.8	NM_145392	Q91YN9	BAG2_MOUSE	Bag2	NM_145392	NM_145392	Mus musculus BCL2-associated athanogene 2 (Bag2), mRNA. (from RefSeq NM_145392)	
