#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.knownGene.cdsStart	mm10.knownGene.cdsEnd	mm10.knownGene.proteinID	mm10.knownGene.alignID	mm10.kgXref.geneSymbol
ENSMUST00000160022.1	chr1	-	9676131	9678610	9676131	9676131		uc287gjo.1	Mybl1
ENSMUST00000160451.1	chr1	-	9678271	9683452	9678271	9678271		uc287gjp.1	Mybl1
ENSMUST00000188212.1	chr1	-	9681862	9699654	9681862	9699654	A0A087WPK9	uc287gjq.1	Mybl1
ENSMUST00000115468.8	chr1	-	9669536	9700024	9669883	9699954	E9QLX9	uc056ycd.2	Mybl1
ENSMUST00000088658.10	chr1	-	9667414	9700209	9669883	9699954	A0A0R4J132	uc007agq.3	Mybl1
ENSMUST00000190155.6	chr1	-	10024842	10035128	10030662	10035128	A0A087WQ60	uc287gkx.1	Cops5
ENSMUST00000139578.7	chr1	-	10030919	10037938	10030919	10030919		uc287gla.1	Cops5
ENSMUST00000186528.6	chr1	-	10027197	10037941	10037665	10037812	A0A087WRH6	uc287gky.1	Cops5
ENSMUST00000191296.1	chr1	-	10037279	10037945	10037279	10037279		uc287glc.1	Cops5
ENSMUST00000027050.9	chr1	-	10024600	10038127	10024978	10037812	O35864	uc007ahe.3	Cops5
ENSMUST00000188619.1	chr1	-	10030686	10038149	10030686	10038010	A0A087WQA8	uc287gkz.1	Cops5
ENSMUST00000150509.2	chr1	-	10033039	10038168	10033039	10033039		uc287glb.1	Cops5
ENSMUST00000156222.1	chr1	-	13629994	13638411	13629994	13629994		uc287gor.1	Lactb2
ENSMUST00000027071.6	chr1	-	13623329	13660546	13626860	13660450	Q99KR3	uc007aiu.4	Lactb2
ENSMUST00000121569.1	chr1	-	14839868	14840156	14839868	14839868		uc287gpk.1	Smt3h2-ps4
ENSMUST00000175681.2	chr1	+	15287253	15712548	15312451	15711629	A6H8H5	uc287gpo.1	Kcnb2
ENSMUST00000170146.2	chr1	+	15312451	15723750	15312451	15711629	A6H8H5	uc007aje.2	Kcnb2
ENSMUST00000152626.1	chr1	+	16130501	16132547	16130501	16130501		uc287gqg.1	Rdh10
ENSMUST00000027053.7	chr1	+	16105773	16133734	16106017	16131417	Q8VCH7	uc007ajm.2	Rdh10
ENSMUST00000115360.7	chr1	-	16344197	16375395	16344197	16344197		uc287gqq.1	Stau2
ENSMUST00000159558.7	chr1	-	16343406	16519211	16345697	16509359	Q8CJ67	uc057kfj.2	Stau2
ENSMUST00000054668.12	chr1	-	16228800	16519228	16229772	16486133	Q8CJ67	uc287gqj.1	Stau2
ENSMUST00000162627.7	chr1	-	16228803	16519228	16229772	16509359	Q8CJ67	uc287gqk.1	Stau2
ENSMUST00000162007.7	chr1	-	16344290	16519240	16345697	16509359	Q8CJ67	uc007ajq.4	Stau2
ENSMUST00000128957.8	chr1	-	16343485	16519247	16345697	16486133	D3Z6D2	uc057kfi.2	Stau2
ENSMUST00000127420.7	chr1	-	16344298	16519253	16427632	16509359	D6RGR9	uc287gqr.1	Stau2
ENSMUST00000115359.9	chr1	-	16459714	16519260	16460315	16486133	Q8CJ67	uc007ajr.3	Stau2
ENSMUST00000151888.7	chr1	-	16394142	16519270	16394142	16440420	E0CZD3	uc287gqt.1	Stau2
ENSMUST00000162751.7	chr1	-	16228673	16519306	16229772	16486133	Q8CJ67	uc007ajn.3	Stau2
ENSMUST00000027052.12	chr1	-	16228809	16519306	16229772	16509359	Q8CJ67	uc007ajo.3	Stau2
ENSMUST00000149320.8	chr1	-	16345593	16519307	16345697	16486133	D3Z6D2	uc287gqs.1	Stau2
ENSMUST00000144138.3	chr1	-	16460212	16520020	16460315	16486133	Q8CJ67	uc287gqw.1	Stau2
ENSMUST00000145092.7	chr1	-	16460103	16520021	16460315	16509359	D3YXB2	uc287gqv.1	Stau2
ENSMUST00000131257.8	chr1	-	16343570	16520067	16345697	16463194	E2QRQ3	uc287gqp.1	Stau2
ENSMUST00000153966.8	chr1	-	16440441	16520080	16440441	16486133	D3Z461	uc287gqu.1	Stau2
ENSMUST00000162435.7	chr1	-	16228815	16520112	16229772	16509359	Q8CJ67	uc287gql.1	Stau2
ENSMUST00000132647.1	chr1	-	20374721	20409448	20374721	20374721		uc287gth.1	Pkhd1
ENSMUST00000128051.1	chr1	-	20606296	20618040	20606296	20606296		uc287gtk.1	Pkhd1
ENSMUST00000088448.11	chr1	-	20057778	20618064	20058297	20615323	E9PZ36	uc007akv.2	Pkhd1
ENSMUST00000147480.7	chr1	-	20592952	20618064	20592952	20592952		uc007akw.2	Pkhd1
ENSMUST00000188112.1	chr1	-	20803005	20803721	20803005	20803005		uc287gts.1	Mcm3
ENSMUST00000191061.1	chr1	-	20803164	20804933	20803164	20803164		uc287gtt.1	Mcm3
ENSMUST00000190421.1	chr1	-	20804685	20805940	20804685	20804685		uc287gtu.1	Mcm3
ENSMUST00000185296.1	chr1	-	20802972	20820260	20802972	20802972		uc287gtr.1	Mcm3
ENSMUST00000053266.10	chr1	-	20802967	20820312	20803455	20820208	Q3UI57	uc007alc.2	Mcm3
ENSMUST00000027064.7	chr1	+	21218661	21230164	21225573	21229585	D3YV08	uc007ali.3	Tmem14a
ENSMUST00000027065.11	chr1	+	21218574	21230167	21225573	21229630	P56983	uc007alj.2	Tmem14a
ENSMUST00000187619.6	chr1	-	24011092	24026759	24012291	24026759	A0A087WQ08	uc287gwf.1	Fam135a
ENSMUST00000185807.1	chr1	-	24024274	24028450	24024274	24028450	A0A087WQ81	uc287gwk.1	Fam135a
ENSMUST00000186331.1	chr1	-	24011603	24029086	24026807	24029086	A0A087WS93	uc287gwj.1	Fam135a
